,0,1,2,3,4,5,6,7,8,9
2017-07-18 00:00:00,-1026.4996767799928,42915.48854328075,2275.9,2277.0,2380.2,2279.7730810914913,2139.0,58410.0,97826575.63933419,-2215120.9380657556
2017-11-28 00:00:00,3185.020936309997,47552.30251787217,9909.1,9868.0,9999.0,9832.675875707255,9580.8,118953.0,467972349.9315106,31740035.690137297
2017-11-24 00:00:00,329.35340639993046,43277.00930614062,8092.0,8220.3,8352.1,8150.206383130352,7871.0,101657.0,352575409.08972394,3112970.4015445393
2018-01-04 00:00:00,-3466.108711629943,46777.29651341387,14528.0,14846.6983685,15422.157853100001,14765.7804470119,14060.0,180325.0,690407641.5591993,-51369659.68930796
2017-06-06 00:00:00,-1489.477066559998,41150.243450901195,2636.7,2844.6,2899.7,2787.392056014742,2620.0,55919.0,114612745.5481014,-4192261.5428451486
2017-06-26 00:00:00,-3424.676590440041,35483.38247840036,2483.0,2393.6,2510.4,2379.010459158601,2258.7,57661.0,84281453.31727749,-7971946.717354805
2017-08-12 00:00:00,1549.1355510899857,36246.06996033092,3642.4,3866.2,3970.1,3783.520576627061,3589.5,65623.0,137546254.0680477,6068923.714647284
2017-09-12 00:00:00,706.5124944799909,37797.262249760395,4200.5,4149.4,4379.0,4232.466566446356,4050.0,55634.0,159732075.70757645,3475320.9562271833
2017-09-27 00:00:00,6226.581264639999,43237.1697383009,3881.7,4096.1,4229.5,4075.1160103828124,3876.7,58472.0,176820122.1927081,25446885.018815476
2017-10-09 00:00:00,5855.1106992700115,45129.45340289081,4611.8,4782.3,4879.8,4703.726767543923,4551.0,67043.0,212523115.28102165,27704149.659063134
2018-01-16 00:00:00,-19536.096827490826,133173.98840292162,12048.0,12046.0,13617.0,11710.458211198584,9940.0,361457.0,1555635752.7056675,-228036384.57837474
2017-05-07 00:00:00,1446.2604563799928,13666.8144225801,1596.7,1595.3,1632.5,1598.206408519604,1575.1,26574.0,21846392.168527722,2346369.6975444267
2017-05-27 00:00:00,-5663.396615329984,44777.14813343101,1915.1,1980.2,2210.8,1965.0238252443228,1810.0,60885.0,87887655.60858965,-10722622.147945143
2017-07-10 00:00:00,-6241.207142970011,27376.332267730588,2445.2,2479.5,2499.9,2380.178112545098,2236.6,34060.0,64989085.6707795,-14782278.414009146
2017-09-03 00:00:00,-2602.253986870015,32196.95864803069,4507.1,4698.9,4699.9,4535.269256974119,4331.0,52838.0,146091748.44929212,-11498016.659105547
2017-10-29 00:00:00,5059.466342639976,61424.25600270101,5719.7,6151.5,6345.0,5970.617812310334,5660.0,95821.0,369067754.68327177,30866687.175518908
2017-11-21 00:00:00,-6609.057024510092,72413.69085900916,8206.9,8075.0,8380.0,8122.217065231785,7755.6,127019.0,586641238.0738304,-52299616.19609563
2017-05-11 00:00:00,2119.463415290009,23680.686967170415,1796.1,1853.9,1908.1,1858.0466521746027,1763.6,30735.0,43915905.763672836,3918254.483127646
2017-06-03 00:00:00,696.6705443399999,10385.305971040003,2404.7,2461.0,2481.2,2422.918169686851,2347.6,20249.0,25157251.59804662,1746262.886900526
2017-07-12 00:00:00,-102.89622915000587,20935.72981149012,2285.5,2389.1,2397.0,2321.627723841419,2190.0,39178.0,48463952.201781094,-110866.69999505556
2017-07-27 00:00:00,4408.806314579995,30273.771717180345,2527.73811996,2578.7,2682.2,2576.6635162422604,2511.0,36246.0,78344983.55096944,11594580.731598306
2018-02-28 00:00:00,-2541.271596369954,44584.24389109381,10583.0,10315.0,11065.0,10637.766786989587,10261.0,110193.0,473818672.49661726,-25629816.651154187
2017-03-20 00:00:00,794.1429700599955,20273.052924100146,1045.0,1044.9,1054.2,1035.8709713714202,1011.0,15998.0,20992348.501528405,854562.191842684
2017-04-21 00:00:00,177.62698499999738,7799.162249159981,1321.1,1327.0,1333.1,1320.2335318058524,1307.0,13268.0,10297207.908233583,241925.41667215608
2017-05-04 00:00:00,-1349.7895177299874,30627.121516009945,1598.8,1607.1,1702.0,1619.251680812111,1519.0,48072.0,49591953.05146297,-2018429.4372641584
2017-05-24 00:00:00,803.0171973399924,28626.01182152132,2348.5,2286.5,2444.9,2348.899978418594,2246.1,63282.0,67124215.24512948,1876154.369883943
2017-07-20 00:00:00,7816.823176740041,80380.58148551811,2461.0,2343.0,2922.0,2571.6759966635523,2253.3,80718.0,209311075.61452997,20221238.128316164
2017-09-20 00:00:00,-876.4325983599899,30600.20066552076,3910.2,3892.3,4049.0,3942.447408197146,3829.0,44725.0,120626172.90263453,-3188622.497846079
2017-09-10 00:00:00,-3748.426028010006,44234.27336813068,4272.6,4126.8,4330.0,4155.488754543826,3974.1,65013.0,183670177.30812088,-15664723.868783737
2017-10-11 00:00:00,374.4042487000067,27018.647524960674,4792.7,4793.5,4881.4,4802.094070797457,4715.0,44756.0,129673361.34176776,1876153.8512595268
2017-10-19 00:00:00,2263.5194755499906,37708.710393731,5585.3,5665.0,5744.0,5650.44011599423,5505.5,57517.0,213108788.43670657,12975368.951543257
2017-12-06 00:00:00,11749.426171820118,84927.70189256074,11591.0,12522.0,13599.0,12580.819561678749,11590.0,221110.0,1070577051.1921889,148099626.98125964
2017-04-14 00:00:00,2533.9501842599966,11645.479362140079,1189.2,1216.6,1219.2,1204.330134832818,1184.0,16539.0,14022968.899848772,3056459.2887304975
